level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
178	178	1	34	12042	22664	1.0	20x	raw	a647	81	83.03200000000002	355.08	48.944	0.24	2.343	6.691	1.183	0	4.78903233049195	0.24
179	179	1	15	12597	21648	1.0	20x	raw	a647	138	65.165	531.1	54.034	0.24	1.804	16.328	1.272	0	9.8333074904303	0.24
180	180	1	84	7434	14410	1.0	20x	raw	a647	11	297.974	34.994	54.176	0.239	1.685	4.191	1.209	0	4.920170192485879	0.239
181	181	1	22	6235	10654	1.0	20x	raw	a647	13	117.035	89.92299999999999	58.142	0.239	1.636	11.057	1.207	0	8.50690606063339	0.239
182	182	1	15	12597	21648	1.0	20x	raw	a647	0	63.979	529.841	53.993	0.238	2.254	9.564	-1.0	0	7.23810487700932	0.238
183	183	1	19	2405	4261	1.0	20x	raw	a647	13	104.108	60.00100000000001	55.986	0.238	2.3040000000000003	11.964	1.215	0	10.652518174510801	0.238
185	185	1	19	2405	4261	1.0	20x	raw	a647	13	102.904	61.13800000000001	55.855	0.238	2.126	13.461	1.224	0	9.96177196467673	0.238
186	186	1	7	8570	15948	1.0	20x	raw	a647	0	77.014	233.058	55.938	0.237	1.3430000000000002	5.949	-1.0	0	6.7233790503222695	0.237
187	187	1	7	8570	15948	1.0	20x	raw	a647	69	82.96799999999998	246.877	54.922	0.237	1.394	5.6370000000000005	1.288	0	2.88465576231347	0.237
188	188	1	121	2886	5255	1.0	20x	raw	a647	0	536.996	391.013	51.002	0.237	2.147	8.197000000000001	-1.0	0	6.47121487435721	0.237
189	189	1	22	6235	10654	1.0	20x	raw	a647	13	132.68200000000002	96.959	54.845	0.237	1.514	4.91	1.24	0	5.19498355229049	0.237
190	190	1	18	11165	21464	1.0	20x	raw	a647	0	58.076	68.104	56.042	0.236	1.74	8.708	-1.0	0	6.79356893626337	0.236
191	191	1	140	20763	33360	1.0	20x	raw	a647	0	584.012	466.039	51.151	0.236	1.525	7.417999999999998	-1.0	0	7.94479538213657	0.236
193	193	1	119	5734	8814	1.0	20x	raw	a647	0	486.878	348.987	50.916	0.235	1.74	5.877999999999999	-1.0	0	4.942109721072232	0.235
194	194	1	119	5734	8814	1.0	20x	raw	a647	83	511.99300000000005	331.852	49.909	0.235	2.153	7.561	1.151	0	4.71317276361337	0.235
195	195	1	18	11165	21464	1.0	20x	raw	a647	0	75.891	48.962	54.79600000000001	0.235	1.418	12.314	-1.0	0	12.3383534327344	0.235
197	197	1	22	6235	10654	1.0	20x	raw	a647	0	147.972	99.837	53.857	0.234	1.77	4.828	-1.0	0	4.16535591996024	0.234
198	198	1	100	6930	11930	1.0	20x	raw	a647	0	392.937	384.074	54.076	0.234	3.4560000000000004	2.8960000000000004	-1.0	0	2.83661590429483	0.234
199	199	1	100	6930	11930	1.0	20x	raw	a647	100	392.934	385.13	53.01600000000001	0.234	3.4760000000000004	2.629	1.215	0	2.35589655897784	0.234
200	200	1	116	6376	11709	1.0	20x	raw	a647	0	413.903	227.031	55.916	0.234	2.171	3.644	-1.0	0	2.27558338762505	0.234
202	202	1	34	12042	22664	1.0	20x	raw	a647	81	92.964	352.087	50.926	0.234	1.984	9.516	1.27	0	7.07488650914614	0.234
203	203	1	34	12042	22664	1.0	20x	raw	a647	81	85.98100000000002	358.767	53.981	0.233	1.739	5.653	1.229	0	3.7803336716951	0.233
228	228	1	99	6084	10494	1.0	20x	raw	a647	0	364.919	394.011	56.026	0.225	3.998	3.064	-1.0	0	3.10975942567577	0.225
205	205	1	21	4421	8778	1.0	20x	raw	a647	13	119.133	76.979	51.065	0.233	2.0380000000000003	5.489	1.206	0	6.33433864549679	0.233
206	206	1	15	12597	21648	1.0	20x	raw	a647	138	63.912	531.0409999999998	51.747	0.232	1.929	7.38	1.113	0	7.4934126549405	0.232
306	306	1	26	7168	14005	1.0	20x	raw	a647	13	167.01	145.004	51.055	0.207	1.611	9.718	1.218	0	5.88676429287282	0.207
208	208	1	100	6930	11930	1.0	20x	raw	a647	100	396.068	385.935	54.027	0.232	1.93	6.499	1.382	0	3.12190309658648	0.232
209	209	1	152	5833	11405	1.0	20x	raw	a647	0	605.8	452.148	48.92100000000001	0.232	2.524	3.227	-1.0	0	3.3382910251259204	0.232
235	235	1	100	6930	11930	1.0	20x	raw	a647	0	397.099	387.039	52.74800000000001	0.224	1.804	6.599	-1.0	0	1.67198998471313	0.224
